rel_thres,strategy,dataset,model,fold,sera_score,config
0.84,RU,data\a1,DecisionTreeRegressor,3,561.9153499999999,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,4,100.56505,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,5,54.0305,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,6,3031.08685,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,7,45.84495,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,8,7762.73845,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,9,3034.1648999999998,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,10,6660.290200000001,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,11,5291.89675,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,12,3721.2628999999997,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,13,52.60445,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,14,103.18310000000001,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,15,74.39885000000001,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,16,5551.094900000001,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,17,5319.080599999999,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,18,7334.645550000001,fixed_params
0.84,RU,data\a1,DecisionTreeRegressor,19,5662.4712,fixed_params
0.84,RU,data\a1,MLPRegressor,0,535709.949885228,fixed_params
0.84,RU,data\a1,MLPRegressor,1,30012430.07130248,fixed_params
0.84,RU,data\a1,MLPRegressor,2,56747.035062530274,fixed_params
0.84,RU,data\a1,MLPRegressor,3,24094864.82978233,fixed_params
0.84,RU,data\a1,MLPRegressor,4,290159.15457489283,fixed_params
0.84,RU,data\a1,MLPRegressor,5,43712.81887864247,fixed_params
0.84,RU,data\a1,MLPRegressor,6,260089.503162178,fixed_params
0.84,RU,data\a1,MLPRegressor,7,1376392.0246398577,fixed_params
0.84,RU,data\a1,MLPRegressor,8,585064.0629653787,fixed_params
0.84,RU,data\a1,MLPRegressor,9,158912.69837574585,fixed_params
0.84,RU,data\a1,MLPRegressor,10,38809.76964909618,fixed_params
0.84,RU,data\a1,MLPRegressor,11,195005.46152560026,fixed_params
0.84,RU,data\a1,MLPRegressor,12,104465.68696352845,fixed_params
0.84,RU,data\a1,MLPRegressor,13,8824.072068109677,fixed_params
0.84,RU,data\a1,MLPRegressor,14,40685.07726542029,fixed_params
0.84,RU,data\a1,MLPRegressor,15,81333.34752766074,fixed_params
0.84,RU,data\a1,MLPRegressor,16,116036.21362788444,fixed_params
0.84,RU,data\a1,MLPRegressor,17,175035.36296814604,fixed_params
0.84,RU,data\a1,MLPRegressor,18,6398282.8374106325,fixed_params
0.84,RU,data\a1,MLPRegressor,19,2186115.534789444,fixed_params
0.84,RU,data\a1,RandomForestRegressor,0,37.646437960000014,fixed_params
0.84,RU,data\a1,RandomForestRegressor,1,1491.5236705250006,fixed_params
0.84,RU,data\a1,RandomForestRegressor,2,4340.877831239999,fixed_params
0.84,RU,data\a1,RandomForestRegressor,3,538.140535695,fixed_params
0.84,RU,data\a1,RandomForestRegressor,4,30.994993745000023,fixed_params
0.84,RU,data\a1,RandomForestRegressor,5,35.530832705,fixed_params
0.84,RU,data\a1,RandomForestRegressor,6,1580.911636365001,fixed_params
